,DN##length##millimeters,L##length##millimeters
1,400.000000,250.000000
2,450.000000,250.000000
3,500.000000,250.000000
4,600.000000,250.000000
5,700.000000,250.000000
6,800.000000,300.000000
7,900.000000,300.000000
8,1000.000000,300.000000
9,1100.000000,350.000000
10,1200.000000,350.000000
11,1300.000000,350.000000
12,1400.000000,350.000000
13,1600.000000,350.000000
14,1800.000000,350.000000
15,1900.000000,350.000000
16,2000.000000,350.000000
17,2200.000000,350.000000
18,2400.000000,350.000000
19,2500.000000,350.000000
20,2600.000000,350.000000
21,2700.000000,350.000000
22,2800.000000,350.000000
23,2900.000000,350.000000
24,3000.000000,350.000000
