,DN##length##millimeters,PN##other##,L##length##millimeters
1,300.000000,10,350.000000
2,350.000000,10,350.000000
3,400.000000,10,375.000000
4,450.000000,10,375.000000
5,500.000000,10,375.000000
6,600.000000,10,400.000000
7,700.000000,10,400.000000
8,800.000000,10,450.000000
9,900.000000,10,450.000000
10,1000.000000,10,475.000000
11,300.000000,16,375.000000
12,350.000000,16,425.000000
13,400.000000,16,425.000000
14,450.000000,16,425.000000
15,500.000000,16,450.000000
16,600.000000,16,475.000000
17,700.000000,16,475.000000
18,800.000000,16,525.000000
19,900.000000,16,525.000000
20,1000.000000,16,550.000000
