,DN##length##millimeters,OD##length##millimeters
1,10.000000,17.200000
2,15.000000,21.300000
3,20.000000,26.700000
4,25.000000,33.700000
5,32.000000,42.400000
6,40.000000,48.300000
7,50.000000,60.300000
8,65.000000,76.100000
9,80.000000,88.900000
10,100.000000,114.300000
11,125.000000,139.700000
12,150.000000,168.300000
13,200.000000,219.100000
14,250.000000,273.000000
15,300.000000,323.900000
16,350.000000,355.600000
17,400.000000,406.400000
18,450.000000,457.000000
19,500.000000,508.000000
20,600.000000,609.600000
21,700.000000,711.200000
22,800.000000,812.800000
23,900.000000,914.000000
24,1000.000000,1016.000000
25,1100.000000,1118.000000
26,1200.000000,1219.000000
27,1400.000000,1422.000000
28,1600.000000,1626.000000
29,1800.000000,1829.000000
