,NDia##length##millimeters,PN##other##,Pol1##length##millimeters,Pol2##length##millimeters,Pol3##length##millimeters,Pol4##length##millimeters,Lgt1##length##millimeters,Lgt2##length##millimeters,Lgt3##length##millimeters,Lgt4##length##millimeters
1,15.000000,10,22.500000,47.500000,16.000000,10.650000,2.000000,12.000000,15.000000,6.000000
2,20.000000,10,29.000000,52.500000,20.000000,13.450000,2.000000,14.000000,16.000000,6.000000
3,25.000000,10,34.000000,57.500000,22.500000,16.850000,2.000000,14.000000,16.000000,6.000000
4,32.000000,10,39.000000,70.000000,28.000000,21.200000,2.000000,14.000000,18.000000,6.000000
5,40.000000,10,44.000000,75.000000,32.000000,24.150000,3.000000,13.000000,19.000000,7.000000
6,50.000000,10,51.000000,82.500000,37.500000,30.150000,3.000000,15.000000,19.000000,8.000000
7,65.000000,10,61.000000,92.500000,45.000000,38.050000,3.000000,15.000000,17.000000,10.000000
8,80.000000,10,69.000000,100.000000,52.500000,44.450000,3.000000,17.000000,20.000000,10.000000
9,100.000000,10,79.000000,110.000000,65.500000,57.150000,3.000000,17.000000,20.000000,12.000000
10,125.000000,10,94.000000,125.000000,78.000000,69.850000,3.000000,19.000000,21.000000,12.000000
11,150.000000,10,106.000000,142.500000,92.000000,84.150000,3.000000,19.000000,21.000000,12.000000
12,200.000000,10,134.000000,170.000000,117.500000,109.550000,3.000000,21.000000,22.000000,16.000000
13,250.000000,10,160.000000,197.500000,146.000000,136.500000,3.000000,23.000000,26.000000,16.000000
14,300.000000,10,185.000000,222.500000,172.000000,161.950000,4.000000,22.000000,26.000000,16.000000
15,350.000000,10,215.000000,252.500000,192.500000,177.800000,4.000000,22.000000,26.000000,16.000000
16,400.000000,10,241.000000,282.500000,220.000000,203.200000,4.000000,22.000000,30.000000,16.000000
17,500.000000,10,292.500000,335.000000,271.000000,254.000000,4.000000,24.000000,31.000000,16.000000
18,600.000000,10,342.500000,390.000000,321.000000,305.000000,5.000000,23.000000,34.000000,18.000000
19,15.000000,16,20.000000,40.000000,15.000000,10.650000,2.000000,10.000000,12.000000,6.000000
20,20.000000,16,25.000000,45.000000,19.000000,13.450000,2.000000,12.000000,12.000000,6.000000
21,25.000000,16,30.000000,50.000000,21.000000,16.850000,2.000000,12.000000,15.000000,6.000000
22,32.000000,16,35.000000,60.000000,27.500000,21.200000,2.000000,12.000000,15.000000,6.000000
23,40.000000,16,40.000000,65.000000,31.000000,24.150000,3.000000,11.000000,17.000000,7.000000
24,50.000000,16,45.000000,70.000000,37.000000,30.150000,3.000000,11.000000,16.000000,8.000000
25,65.000000,16,55.000000,80.000000,44.000000,38.050000,3.000000,11.000000,15.000000,9.000000
26,80.000000,16,64.000000,95.000000,51.000000,44.450000,3.000000,13.000000,16.000000,10.000000
27,100.000000,16,74.000000,105.000000,65.000000,57.150000,3.000000,13.000000,19.000000,10.000000
28,125.000000,16,89.000000,120.000000,77.500000,69.850000,3.000000,15.000000,20.000000,10.000000
29,150.000000,16,101.000000,132.500000,92.000000,84.150000,3.000000,15.000000,18.000000,12.000000
30,200.000000,16,129.000000,160.000000,118.000000,109.550000,3.000000,17.000000,20.000000,15.000000
31,250.000000,16,156.000000,187.500000,145.000000,136.500000,3.000000,19.000000,23.000000,15.000000
32,300.000000,16,182.500000,220.000000,171.000000,161.950000,4.000000,18.000000,25.000000,15.000000
33,350.000000,16,207.500000,245.000000,192.500000,177.800000,4.000000,18.000000,25.000000,15.000000
34,400.000000,16,232.500000,270.000000,219.000000,203.200000,4.000000,18.000000,28.000000,15.000000
35,500.000000,16,285.000000,322.500000,269.000000,254.000000,4.000000,20.000000,29.000000,15.000000
36,600.000000,16,335.000000,377.500000,320.000000,305.000000,5.000000,19.000000,30.000000,16.000000
37,15.000000,6,20.000000,40.000000,15.000000,10.650000,2.000000,10.000000,12.000000,6.000000
38,20.000000,6,25.000000,45.000000,19.000000,13.450000,2.000000,12.000000,12.000000,6.000000
39,25.000000,6,30.000000,50.000000,21.000000,16.850000,2.000000,12.000000,15.000000,6.000000
40,32.000000,6,35.000000,60.000000,27.500000,21.200000,2.000000,12.000000,15.000000,6.000000
41,40.000000,6,40.000000,65.000000,31.000000,24.150000,3.000000,11.000000,17.000000,7.000000
42,50.000000,6,45.000000,70.000000,37.000000,30.150000,3.000000,11.000000,16.000000,8.000000
43,65.000000,6,55.000000,80.000000,44.000000,38.050000,3.000000,11.000000,15.000000,9.000000
44,80.000000,6,64.000000,95.000000,51.000000,44.450000,3.000000,13.000000,16.000000,10.000000
45,100.000000,6,74.000000,105.000000,65.000000,57.150000,3.000000,13.000000,19.000000,10.000000
46,125.000000,6,89.000000,120.000000,77.500000,69.850000,3.000000,15.000000,20.000000,10.000000
47,150.000000,6,101.000000,132.500000,92.000000,84.150000,3.000000,15.000000,18.000000,12.000000
48,200.000000,6,129.000000,160.000000,118.000000,109.550000,3.000000,17.000000,20.000000,15.000000
49,250.000000,6,156.000000,187.500000,145.000000,136.500000,3.000000,19.000000,23.000000,15.000000
50,300.000000,6,182.500000,220.000000,171.000000,161.950000,4.000000,18.000000,25.000000,15.000000
51,350.000000,6,207.500000,245.000000,192.500000,177.800000,4.000000,18.000000,25.000000,15.000000
52,400.000000,6,232.500000,270.000000,219.000000,203.200000,4.000000,18.000000,28.000000,15.000000
53,500.000000,6,285.000000,322.500000,269.000000,254.000000,4.000000,20.000000,29.000000,15.000000
54,600.000000,6,335.000000,377.500000,320.000000,305.000000,5.000000,19.000000,30.000000,16.000000
