,DN##length##millimeters,PN##other##,D##length##millimeters,L##length##millimeters,A##length##millimeters,b##length##millimeters,h1##length##millimeters,Dk##length##millimeters,e1##length##millimeters,e2##length##millimeters,l3##length##millimeters,h2##length##millimeters,a##length##millimeters,h4##length##millimeters,De1##length##millimeters
1,200.000000,10,340.000000,152.000000,185.000000,20.000000,175.000000,250.000000,256.000000,50.000000,308.000000,231.000000,126.000000,188.000000,46.000000
2,250.000000,10,400.000000,165.000000,225.000000,22.000000,205.000000,250.000000,299.000000,50.000000,351.000000,231.000000,126.000000,188.000000,46.000000
3,300.000000,10,455.000000,178.000000,260.000000,24.500000,232.000000,250.000000,349.000000,50.000000,401.000000,231.000000,126.000000,188.000000,46.000000
4,350.000000,10,505.000000,190.000000,270.000000,24.500000,265.000000,250.000000,359.000000,50.000000,411.000000,231.000000,150.000000,226.500000,62.000000
5,400.000000,10,565.000000,216.000000,320.000000,24.500000,288.000000,350.000000,403.000000,63.000000,465.000000,231.000000,150.000000,226.500000,62.000000
6,450.000000,10,615.000000,222.000000,250.000000,26.500000,312.000000,400.000000,442.000000,80.000000,508.000000,308.000000,176.000000,242.000000,62.000000
7,500.000000,10,670.000000,229.000000,300.000000,26.500000,340.000000,400.000000,473.000000,80.000000,539.000000,308.000000,176.000000,242.000000,62.000000
8,600.000000,10,780.000000,267.000000,330.000000,30.000000,395.000000,500.000000,541.000000,100.000000,625.000000,407.000000,210.000000,383.000000,96.000000
9,700.000000,10,900.000000,292.000000,400.000000,32.500000,455.000000,500.000000,634.000000,125.000000,722.000000,447.000000,300.000000,451.000000,96.000000
10,800.000000,10,1020.000000,318.000000,450.000000,35.000000,515.000000,400.000000,684.000000,125.000000,772.000000,432.000000,300.000000,451.000000,96.000000
11,900.000000,10,1120.000000,330.000000,550.000000,37.500000,565.000000,400.000000,750.000000,160.000000,830.000000,520.000000,330.000000,625.000000,116.000000
12,1000.000000,10,1245.000000,410.000000,600.000000,40.000000,630.000000,400.000000,820.000000,160.000000,915.000000,520.000000,350.000000,625.000000,116.000000
13,1200.000000,10,1470.000000,470.000000,700.000000,45.000000,740.000000,500.000000,989.000000,200.000000,1104.000000,667.000000,416.000000,835.000000,146.000000
14,1400.000000,10,1675.000000,710.000000,800.000000,55.000000,845.000000,400.000000,1150.000000,250.000000,1280.000000,745.000000,535.000000,1041.00000,232.000000
15,200.000000,16,340.000000,152.000000,185.000000,20.000000,175.000000,250.000000,256.000000,50.000000,308.000000,231.000000,126.000000,188.000000,46.000000
16,250.000000,16,400.000000,165.000000,225.000000,22.000000,205.000000,250.000000,299.000000,50.000000,351.000000,231.000000,126.000000,188.000000,46.000000
17,300.000000,16,455.000000,178.000000,260.000000,24.500000,232.000000,250.000000,349.000000,50.000000,401.000000,231.000000,126.000000,188.000000,46.000000
18,350.000000,16,520.000000,190.000000,270.000000,26.500000,265.000000,350.000000,378.000000,63.000000,440.000000,283.000000,150.000000,226.500000,62.000000
19,400.000000,16,580.000000,216.000000,320.000000,28.000000,295.000000,400.000000,401.000000,80.000000,463.000000,308.000000,150.000000,226.500000,62.000000
20,450.000000,16,640.000000,222.000000,250.000000,31.500000,325.000000,400.000000,460.000000,100.000000,508.000000,367.000000,176.000000,242.000000,62.000000
21,500.000000,16,715.000000,229.000000,300.000000,31.500000,362.000000,500.000000,499.000000,100.000000,583.000000,407.000000,176.000000,242.000000,62.000000
22,600.000000,16,840.000000,267.000000,330.000000,36.000000,425.000000,500.000000,585.000000,125.000000,673.000000,447.000000,210.000000,383.000000,96.000000
23,700.000000,16,910.000000,292.000000,400.000000,39.500000,460.000000,500.000000,648.000000,125.000000,736.000000,447.000000,300.000000,451.000000,96.000000
24,800.000000,16,1025.000000,318.000000,450.000000,43.000000,520.000000,400.000000,721.000000,160.000000,822.000000,517.000000,300.000000,451.000000,96.000000
25,900.000000,16,1125.000000,330.000000,550.000000,46.500000,570.000000,500.000000,770.000000,160.000000,865.000000,537.000000,330.000000,625.000000,116.000000
26,1000.000000,16,1255.000000,410.000000,600.000000,50.000000,635.000000,400.000000,890.000000,200.000000,1005.000000,642.000000,350.000000,625.000000,116.000000
27,1200.000000,16,1485.000000,470.000000,700.000000,57.000000,750.000000,500.000000,1014.000000,250.000000,1154.000000,772.000000,416.000000,835.000000,146.000000
