Oznaèení TSP	TSP	Oznaèení PSP	PSP	Skupina parametrù	Parametr	STUDIE	DUR	DSP	DPS	RDS	MSPS	Popis parametru	Guid	Datovı typ	Jednotka	IFC název	IFC Pset	Revit - systémové parametry	Revit - sdílené parametry	ArchiCAD	Allplan	Tekla	POZEMNÍ STAVBA	ARS	STA	PBR	PRT	KAN	VOD	PLN	UTCH	VZT	SIL	SLB	MAR	SHZ	EPS	OTK	GHZ	SILNIÈNÍ STAVBA	000	100	200	300	400	500	600	700	800	ELEZNIÈNÍ STAVBA	ISR
VK	Vıkop	01	Jáma	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	01	Jáma	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	01	Jáma	Technické informace	Tøída tìitelnosti							Oznaèení dle ÈSN 73 6133.	5ca495a5-9b8f-44c9-ae88-869ad8f4bd17	integer	celé èíslo								x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	01	Jáma	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																											
VK	Vıkop	02	Odkop	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	02	Odkop	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	02	Odkop	Technické informace	Tøída tìitelnosti							Oznaèení dle ÈSN 73 6133.	5ca495a5-9b8f-44c9-ae88-869ad8f4bd17	integer	celé èíslo								x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	02	Odkop	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																											
VK	Vıkop	03	Rıha	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	03	Rıha	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	03	Rıha	Technické informace	Tøída tìitelnosti							Oznaèení dle ÈSN 73 6133.	5ca495a5-9b8f-44c9-ae88-869ad8f4bd17	integer	celé èíslo								x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	03	Rıha	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																											
VK	Vıkop	04	Sejmutí ornice	Základní informace	Kód prvku							Jednoznaèné a unikátní identifikaèní kód prvku.	8472fd9c-65db-4cc3-b84a-cc7ae4276588	string	TEXT	Reference		Oznaèení	KÓD PRVKU				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	04	Sejmutí ornice	Rozmìry	Objem							Èíselná hodnota objemu prvku udávaná v m3.	392b90c0-d704-4fa2-8993-f83cae64c544	number	m3	NetVolume		Objem	OBJEM				x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	04	Sejmutí ornice	Technické informace	Tøída tìitelnosti							Oznaèení dle ÈSN 73 6133.	5ca495a5-9b8f-44c9-ae88-869ad8f4bd17	integer	celé èíslo								x	x																x		x	x	x	x	x	x	x	x	x	
VK	Vıkop	04	Sejmutí ornice	Základní informace	Stavební objekt							Jednoznaèné oznaèení stavebního objektu, ve kterém se danı prvek nachází.	e070339f-4f9f-4364-9595-11b4791420cd	string	TEXT								x	x																											
